pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA_x,HODESH_TEUNA_x,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,MISPAR_REHEV_fikt,ZEHUT_fikt,SHNAT_TEUNA_y,HODESH_TEUNA_y,SUG_MEORAV,SHNAT_HOZAA,KVUZA_GIL,MIN,SUG_REHEV_NASA_LMS,EMZAE_BETIHUT,SEMEL_YISHUV_MEGURIM,HUMRAT_PGIA,SUG_NIFGA_LMS,PEULAT_NIFGA_LMS,KVUTZAT_OHLUSIYA_LMS,MAHOZ_MEGURIM,NAFA_MEGURIM,EZOR_TIVI_MEGURIM,MAAMAD_MINIZIPALI_MEGURIM,ZURAT_ISHUV_MEGURIM,SUG_TIK,ShimushBeAvizareyBetihut_LMS,PtiraMeuheret_LMS
2023000186,1,1,1,8700,204,367,,220001,,,,,51,2023,8,3,87,4,5,5,1,3,2,8,0,3,1,1,4,3,3,2,1,1,9,9,9,0,0,9,4,42,421,0,15,1,189213,677607,1,2,2023,8,2,1974,14,1,1,5,8700,3,2,1,1,4,42,421,0,15,1,,
2023000186,1,1,1,8700,204,367,,220001,,,,,51,2023,8,3,87,4,5,5,1,3,2,8,0,3,1,1,4,3,3,2,1,1,9,9,9,0,0,9,4,42,421,0,15,1,189213,677607,2,1,2023,8,1,2012,6,1,1,5,2720,0,0,8,2,4,41,412,0,26,1,,
2023000208,1,1,1,3000,1093,1121,,92870888,,,,,61,2023,2,20,42,4,1,2,1,3,2,8,3,0,1,1,2,3,1,2,1,1,9,9,9,0,0,9,1,11,111,0,12,1,217745,631262,1,2,2023,2,2,1973,15,1,1,5,2610,3,2,1,1,1,11,112,0,14,1,,
2023000208,1,1,1,3000,1093,1121,,92870888,,,,,61,2023,2,20,42,4,1,2,1,3,2,8,3,0,1,1,2,3,1,2,1,1,9,9,9,0,0,9,1,11,111,0,12,1,217745,631262,2,1,2023,2,2,1997,10,1,2,1,456,3,2,1,1,1,11,111,26,32,1,,
2023000288,1,1,1,7800,502,508,,8840179,,,,,12,2023,1,27,51,4,1,6,0,3,2,8,3,0,1,1,2,3,1,5,1,1,9,9,9,0,0,9,3,32,324,99,16,1,199966,708702,1,2,2023,1,2,2003,8,1,1,1,7800,3,2,1,1,3,32,324,99,16,1,,
2023000288,1,1,1,7800,502,508,,8840179,,,,,12,2023,1,27,51,4,1,6,0,3,2,8,3,0,1,1,2,3,1,5,1,1,9,9,9,0,0,9,3,32,324,99,16,1,199966,708702,2,1,2023,1,1,1996,10,2,1,1,7800,0,0,8,1,3,32,324,99,16,1,,
2023000317,1,1,1,7900,136,118,,8310012,,,,,51,2023,9,27,57,4,1,4,1,2,2,9,0,3,1,1,2,3,1,2,1,1,9,9,9,0,0,9,4,42,422,0,13,1,188962,667223,1,2,2023,9,1,1980,13,1,3,1,7900,0,0,8,1,4,42,422,0,13,1,,
2023000317,1,1,1,7900,136,118,,8310012,,,,,51,2023,9,27,57,4,1,4,1,2,2,9,0,3,1,1,2,3,1,2,1,1,9,9,9,0,0,9,4,42,422,0,13,1,188962,667223,2,1,2023,9,2,1999,12,1,1,1,7900,2,2,1,3,4,42,422,0,13,1,,
2023000344,1,1,1,666,126,116,,100001,,,,,34,2023,9,21,60,4,1,5,0,3,2,8,3,0,1,1,1,3,1,5,1,1,9,9,9,0,0,9,6,62,623,99,18,1,185647,575134,1,1,2023,9,2,2005,8,2,1,1,666,3,2,1,1,6,62,623,99,18,1,1,
2023000344,1,1,1,666,126,116,,100001,,,,,34,2023,9,21,60,4,1,5,0,3,2,8,3,0,1,1,1,3,1,5,1,1,9,9,9,0,0,9,6,62,623,99,18,1,185647,575134,1,3,2023,9,3,0,2,1,1,1,666,3,3,2,1,6,62,623,99,18,1,,
2023000344,1,1,1,666,126,116,,100001,,,,,34,2023,9,21,60,4,1,5,0,3,2,8,3,0,1,1,1,3,1,5,1,1,9,9,9,0,0,9,6,62,623,99,18,1,185647,575134,1,4,2023,9,3,0,2,2,1,1,666,3,3,2,1,6,62,623,99,18,1,,
2023000344,1,1,1,666,126,116,,100001,,,,,34,2023,9,21,60,4,1,5,0,3,2,8,3,0,1,1,1,3,1,5,1,1,9,9,9,0,0,9,6,62,623,99,18,1,185647,575134,1,5,2023,9,3,0,3,2,1,1,666,3,3,2,1,6,62,623,99,18,1,,
2023000344,1,1,1,666,126,116,,100001,,,,,34,2023,9,21,60,4,1,5,0,3,2,8,3,0,1,1,1,3,1,5,1,1,9,9,9,0,0,9,6,62,623,99,18,1,185647,575134,2,2,2023,9,1,2000,9,1,1,1,3730,0,0,8,1,7,74,740,99,16,1,,
2023000395,1,1,1,3000,1346,1362,,28040411,,,,,61,2023,1,6,43,4,1,6,1,3,2,8,0,3,1,1,4,3,2,2,2,2,9,9,9,0,0,9,1,11,111,0,12,1,218030,628506,1,3,2023,1,1,2021,5,1,1,1,3780,0,0,8,1,7,76,760,0,15,1,,
2023000395,1,1,1,3000,1346,1362,,28040411,,,,,61,2023,1,6,43,4,1,6,1,3,2,8,0,3,1,1,4,3,2,2,2,2,9,9,9,0,0,9,1,11,111,0,12,1,218030,628506,2,1,2023,1,3,0,7,2,1,1,3603,3,3,2,1,7,76,760,76,37,1,,
2023000395,1,1,1,3000,1346,1362,,28040411,,,,,61,2023,1,6,43,4,1,6,1,3,2,8,0,3,1,1,4,3,2,2,2,2,9,9,9,0,0,9,1,11,111,0,12,1,218030,628506,2,2,2023,1,3,0,1,2,1,3,3603,3,3,2,1,7,76,760,76,37,1,,
2023000395,1,1,1,3000,1346,1362,,28040411,,,,,61,2023,1,6,43,4,1,6,1,3,2,8,0,3,1,1,4,3,2,2,2,2,9,9,9,0,0,9,1,11,111,0,12,1,218030,628506,2,4,2023,1,1,2005,8,1,1,1,3603,0,0,8,1,7,76,760,76,37,1,,
2023000404,1,1,1,5000,400,168,,16540221,,,,,20,2023,7,3,83,4,5,2,1,3,2,8,1,0,3,1,3,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,183582,670124,1,2,2023,7,2,0,7,1,23,4,5000,3,8,1,1,5,51,511,0,13,1,,
2023000404,1,1,1,5000,400,168,,16540221,,,,,20,2023,7,3,83,4,5,2,1,3,2,8,1,0,3,1,3,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,183582,670124,2,1,2023,7,1,2022,4,2,1,1,5000,0,0,8,1,5,51,511,0,13,1,,
2023000407,1,1,1,7400,418,169,,7970012,,,,,51,2023,12,7,89,4,5,5,1,3,2,8,3,0,1,1,3,3,3,2,1,1,9,9,9,0,0,9,4,41,411,0,13,1,187283,692584,1,1,2023,12,2,2023,4,2,1,1,7400,3,2,1,1,4,41,411,0,13,1,1,
2023000407,1,1,1,7400,418,169,,7970012,,,,,51,2023,12,7,89,4,5,5,1,3,2,8,3,0,1,1,3,3,3,2,1,1,9,9,9,0,0,9,4,41,411,0,13,1,187283,692584,1,2,2023,12,3,0,3,2,1,1,7400,3,3,2,1,4,41,411,0,13,1,1,
2023000407,1,1,1,7400,418,169,,7970012,,,,,51,2023,12,7,89,4,5,5,1,3,2,8,3,0,1,1,3,3,3,2,1,1,9,9,9,0,0,9,4,41,411,0,13,1,187283,692584,1,3,2023,12,3,0,9,1,1,1,7400,3,3,2,1,4,41,411,0,13,1,,
2023000407,1,1,1,7400,418,169,,7970012,,,,,51,2023,12,7,89,4,5,5,1,3,2,8,3,0,1,1,3,3,3,2,1,1,9,9,9,0,0,9,4,41,411,0,13,1,187283,692584,2,4,2023,12,1,2022,4,2,1,1,41,0,0,8,1,4,41,411,99,19,1,,
2023000440,1,1,1,6100,503,518,,7930014,,,,,20,2023,6,25,67,4,1,1,9,2,1,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,512,0,13,1,184423,666612,0,1,2023,6,3,0,6,1,,5,6100,2,1,9,1,5,51,512,0,13,1,1,
2023000440,1,1,1,6100,503,518,,7930014,,,,,20,2023,6,25,67,4,1,1,9,2,1,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,512,0,13,1,184423,666612,1,2,2023,6,1,2021,4,1,10,2,6100,0,0,8,1,5,51,512,0,13,1,,
2023000481,1,1,1,3000,1630,1610,,13590511,,,,,61,2023,12,2,80,4,5,7,0,3,5,9,3,0,1,1,4,5,6,1,1,1,9,9,9,0,0,9,1,11,111,0,12,1,219796,630241,1,3,2023,12,1,2003,10,1,1,5,3000,0,0,8,1,1,11,111,0,12,1,,
2023000481,1,1,1,3000,1630,1610,,13590511,,,,,61,2023,12,2,80,4,5,7,0,3,5,9,3,0,1,1,4,5,6,1,1,1,9,9,9,0,0,9,1,11,111,0,12,1,219796,630241,2,1,2023,12,3,0,4,2,1,1,3000,3,3,8,1,1,11,111,0,12,1,,
2023000481,1,1,1,3000,1630,1610,,13590511,,,,,61,2023,12,2,80,4,5,7,0,3,5,9,3,0,1,1,4,5,6,1,1,1,9,9,9,0,0,9,1,11,111,0,12,1,219796,630241,2,2,2023,12,2,2001,9,2,1,1,3000,3,2,1,1,1,11,111,0,12,1,,
2023000517,1,1,1,8400,403,116,,290004,,,,,52,2023,11,26,55,4,1,1,9,3,4,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,44,441,0,14,1,182769,643441,1,1,2023,11,2,2004,12,2,9,2,8400,3,4,1,1,4,44,441,0,14,1,,
2023000517,1,1,1,8400,403,116,,290004,,,,,52,2023,11,26,55,4,1,1,9,3,4,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,44,441,0,14,1,182769,643441,2,2,2023,11,1,1977,13,1,12,5,2530,0,0,8,1,4,43,432,0,16,1,,
2023000520,1,1,1,70,701,704,,8880052,,,,,38,2023,9,19,59,4,1,3,0,2,1,8,0,3,1,1,2,3,1,6,1,1,9,9,9,3,3,1,6,61,613,0,13,1,166778,632339,0,2,2023,9,3,0,15,2,,5,70,2,1,9,1,6,61,613,0,13,1,3,
2023000520,1,1,1,70,701,704,,8880052,,,,,38,2023,9,19,59,4,1,3,0,2,1,8,0,3,1,1,2,3,1,6,1,1,9,9,9,3,3,1,6,61,613,0,13,1,166778,632339,1,1,2023,9,1,2000,11,1,18,1,7100,0,0,8,1,6,61,614,0,14,1,,
2023000521,1,1,1,6600,968,942,,10170071,,,,,20,2023,9,10,65,4,1,1,1,3,1,8,0,3,1,1,3,3,1,2,1,1,9,9,9,3,4,9,5,51,513,0,14,1,179888,656963,0,1,2023,9,3,0,12,2,,5,6600,3,1,9,1,5,51,513,0,14,1,,
2023000521,1,1,1,6600,968,942,,10170071,,,,,20,2023,9,10,65,4,1,1,1,3,1,8,0,3,1,1,3,3,1,2,1,1,9,9,9,3,4,9,5,51,513,0,14,1,179888,656963,1,2,2023,9,1,2006,8,1,1,5,3000,0,0,8,2,1,11,111,0,12,1,,
2023000536,1,1,1,5000,461,934,,80150483,,,,,20,2023,4,13,76,4,1,5,1,2,1,8,0,3,1,1,2,3,1,2,1,1,9,9,5,8,0,9,5,51,511,0,13,1,178539,666134,0,1,2023,4,3,0,11,2,,5,8400,3,1,9,3,4,44,441,0,14,1,,
2023000536,1,1,1,5000,461,934,,80150483,,,,,20,2023,4,13,76,4,1,5,1,2,1,8,0,3,1,1,2,3,1,2,1,1,9,9,5,8,0,9,5,51,511,0,13,1,178539,666134,0,3,2023,4,3,0,13,1,,5,8400,2,1,9,1,4,44,441,0,14,1,1,
2023000536,1,1,1,5000,461,934,,80150483,,,,,20,2023,4,13,76,4,1,5,1,2,1,8,0,3,1,1,2,3,1,2,1,1,9,9,5,8,0,9,5,51,511,0,13,1,178539,666134,0,4,2023,4,3,0,13,1,,5,0,2,1,9,1,,99,,,,1,,
2023000536,1,1,1,5000,461,934,,80150483,,,,,20,2023,4,13,76,4,1,5,1,2,1,8,0,3,1,1,2,3,1,2,1,1,9,9,5,8,0,9,5,51,511,0,13,1,178539,666134,1,2,2023,4,1,2014,11,2,1,1,5000,0,0,8,1,5,51,511,0,13,1,,
2023000679,1,1,1,6300,403,412,,47860028,,,,,20,2023,10,19,85,4,5,5,1,3,2,8,1,0,1,1,4,3,6,2,1,1,9,9,9,0,0,9,5,51,512,0,15,1,181332,664474,1,1,2023,10,3,0,4,1,1,1,0,3,3,1,1,,99,,,,1,,
2023000679,1,1,1,6300,403,412,,47860028,,,,,20,2023,10,19,85,4,5,5,1,3,2,8,1,0,1,1,4,3,6,2,1,1,9,9,9,0,0,9,5,51,512,0,15,1,181332,664474,1,3,2023,10,2,2006,8,1,1,1,481,3,2,1,2,2,22,222,0,26,1,,
2023000679,1,1,1,6300,403,412,,47860028,,,,,20,2023,10,19,85,4,5,5,1,3,2,8,1,0,1,1,4,3,6,2,1,1,9,9,9,0,0,9,5,51,512,0,15,1,181332,664474,2,2,2023,10,2,2002,8,1,1,1,6300,3,2,1,1,5,51,512,0,15,1,,
2023000730,1,1,1,6500,612,701,,7730007,,,,,12,2023,5,17,59,4,1,4,0,3,2,8,3,0,1,1,2,3,1,6,1,1,9,9,9,0,0,9,3,32,324,0,14,1,193110,704401,1,2,2023,5,1,2000,10,2,1,5,6500,0,0,8,1,3,32,324,0,14,1,,
2023000730,1,1,1,6500,612,701,,7730007,,,,,12,2023,5,17,59,4,1,4,0,3,2,8,3,0,1,1,2,3,1,6,1,1,9,9,9,0,0,9,3,32,324,0,14,1,193110,704401,2,1,2023,5,2,1995,12,1,1,5,6500,3,2,1,1,3,32,324,0,14,1,,
2023000731,1,1,1,9700,186,101,,7970002,,,,,51,2023,12,18,39,4,1,2,1,3,2,9,0,5,1,1,1,3,1,2,1,1,9,9,9,0,0,9,4,42,421,0,15,1,190236,673048,1,2,2023,12,2,1975,15,2,1,5,6100,3,2,1,1,5,51,512,0,13,1,,
2023000731,1,1,1,9700,186,101,,7970002,,,,,51,2023,12,18,39,4,1,2,1,3,2,9,0,5,1,1,1,3,1,2,1,1,9,9,9,0,0,9,4,42,421,0,15,1,190236,673048,2,1,2023,12,2,2019,6,2,1,5,9700,3,2,1,1,4,42,421,0,15,1,1,
2023000746,1,1,1,8600,147,148,,10610111,,,,,20,2023,11,12,58,4,1,1,1,2,2,8,1,0,1,1,3,3,1,2,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183756,667285,1,2,2023,11,2,2014,6,1,10,5,6000,2,4,1,2,3,32,324,0,26,1,1,
2023000746,1,1,1,8600,147,148,,10610111,,,,,20,2023,11,12,58,4,1,1,1,2,2,8,1,0,1,1,3,3,1,2,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183756,667285,2,1,2023,11,1,1989,11,1,11,1,494,0,0,8,2,3,31,311,99,27,1,,
2023000772,1,1,1,5000,225,249,,17120213,,,,,20,2023,9,14,55,4,1,5,1,3,1,8,3,0,1,1,4,4,1,2,1,1,9,9,9,3,4,2,5,51,511,0,13,1,182873,668988,0,1,2023,9,3,0,8,2,,5,0,3,1,9,1,,99,,,,1,,
2023000772,1,1,1,5000,225,249,,17120213,,,,,20,2023,9,14,55,4,1,5,1,3,1,8,3,0,1,1,4,4,1,2,1,1,9,9,9,3,4,2,5,51,511,0,13,1,182873,668988,1,2,2023,9,1,2022,8,1,1,1,7400,0,0,8,3,4,41,411,0,13,1,,
2023000788,1,1,1,7100,375,6011,,7990002,,,,,38,2023,5,16,55,4,1,3,0,3,1,9,0,3,1,1,3,3,1,6,1,1,9,9,9,4,3,2,6,61,614,0,14,1,159419,620250,0,1,2023,5,3,0,4,2,,5,7100,3,1,9,1,6,61,614,0,14,1,,
2023000788,1,1,1,7100,375,6011,,7990002,,,,,38,2023,5,16,55,4,1,3,0,3,1,9,0,3,1,1,3,3,1,6,1,1,9,9,9,4,3,2,6,61,614,0,14,1,159419,620250,0,3,2023,5,3,0,4,2,,5,7100,3,1,9,1,6,61,614,0,14,1,1,
2023000788,1,1,1,7100,375,6011,,7990002,,,,,38,2023,5,16,55,4,1,3,0,3,1,9,0,3,1,1,3,3,1,6,1,1,9,9,9,4,3,2,6,61,614,0,14,1,159419,620250,1,2,2023,5,2,2022,4,1,1,5,7100,3,2,1,1,6,61,614,0,14,1,,
2023000877,1,1,1,5000,3004,1620,,20420735,,,,,20,2023,12,11,75,4,5,2,1,3,1,8,1,0,1,3,4,3,3,2,1,1,9,9,9,1,4,1,5,51,511,0,13,1,176684,660184,0,1,2023,12,3,0,10,1,,5,6200,3,1,9,1,5,51,513,0,14,1,,
2023000877,1,1,1,5000,3004,1620,,20420735,,,,,20,2023,12,11,75,4,5,2,1,3,1,8,1,0,1,3,4,3,3,2,1,1,9,9,9,1,4,1,5,51,511,0,13,1,176684,660184,1,2,2023,12,1,2019,5,1,10,2,5000,0,0,8,2,5,51,511,0,13,1,,
2023000895,1,1,1,5000,1611,1639,,14350714,,,,,20,2023,1,15,32,4,1,1,1,3,2,9,3,0,1,1,0,3,1,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177902,661953,1,1,2023,1,3,0,3,2,1,1,5000,3,3,1,1,5,51,511,0,13,1,,
2023000895,1,1,1,5000,1611,1639,,14350714,,,,,20,2023,1,15,32,4,1,1,1,3,2,9,3,0,1,1,0,3,1,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177902,661953,1,2,2023,1,2,1996,10,1,1,1,5000,3,2,1,1,5,51,511,0,13,1,,
2023000895,1,1,1,5000,1611,1639,,14350714,,,,,20,2023,1,15,32,4,1,1,1,3,2,9,3,0,1,1,0,3,1,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177902,661953,2,3,2023,1,1,0,15,1,12,1,8300,0,0,8,1,4,44,442,0,13,1,,
2023000970,1,1,1,8600,1742,3112,,97710478,,,,,20,2023,6,12,45,4,1,2,0,2,1,9,3,0,1,0,3,5,1,1,1,1,9,9,9,3,1,9,5,51,512,0,14,1,184832,662148,0,1,2023,6,3,0,16,2,,5,8400,2,1,9,1,4,44,441,0,14,1,1,
2023000970,1,1,1,8600,1742,3112,,97710478,,,,,20,2023,6,12,45,4,1,2,0,2,1,9,3,0,1,0,3,5,1,1,1,1,9,9,9,3,1,9,5,51,512,0,14,1,184832,662148,1,2,2023,6,1,1982,13,2,1,1,8600,0,0,8,1,5,51,512,0,14,1,,
2023001000,1,1,1,70,260,302,,8070011,,,,,38,2023,9,12,40,4,1,3,1,3,2,8,0,3,1,1,5,3,1,2,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167320,633180,1,4,2023,9,2,2015,6,1,11,5,1343,3,2,1,2,6,62,623,69,45,1,,
2023001000,1,1,1,70,260,302,,8070011,,,,,38,2023,9,12,40,4,1,3,1,3,2,8,0,3,1,1,5,3,1,2,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167320,633180,2,1,2023,9,2,1991,16,1,1,5,70,3,2,1,1,6,61,613,0,13,1,,
2023001000,1,1,1,70,260,302,,8070011,,,,,38,2023,9,12,40,4,1,3,1,3,2,8,0,3,1,1,5,3,1,2,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167320,633180,2,2,2023,9,3,0,12,2,1,5,70,3,3,6,1,6,61,613,0,13,1,1,
2023001000,1,1,1,70,260,302,,8070011,,,,,38,2023,9,12,40,4,1,3,1,3,2,8,0,3,1,1,5,3,1,2,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167320,633180,3,3,2023,9,2,1995,10,1,12,5,70,3,2,1,1,6,61,613,0,13,1,,
2023001159,1,1,1,5000,2263,2309,,14620713,,,,,20,2023,3,10,3,4,5,6,1,3,2,9,1,0,1,1,2,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178568,662021,1,2,2023,3,1,2018,5,1,1,5,5000,0,0,8,2,5,51,511,0,13,1,,
2023001159,1,1,1,5000,2263,2309,,14620713,,,,,20,2023,3,10,3,4,5,6,1,3,2,9,1,0,1,1,2,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178568,662021,2,3,2023,3,2,2021,4,1,9,5,5000,3,4,1,2,5,51,511,0,13,1,,
2023001159,1,1,1,5000,2263,2309,,14620713,,,,,20,2023,3,10,3,4,5,6,1,3,2,9,1,0,1,1,2,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178568,662021,3,1,2023,3,1,0,99,0,9,5,0,0,0,8,1,,99,,,,1,,
2023001197,1,1,1,6200,221,443,,8940031,,,,,20,2023,9,18,64,4,1,2,1,1,1,8,3,0,1,1,4,3,1,2,1,1,9,9,9,1,4,1,5,51,513,0,14,1,175832,658011,0,2,2023,9,3,0,16,1,,5,6200,1,1,9,1,5,51,513,0,14,1,1,1
2023001197,1,1,1,6200,221,443,,8940031,,,,,20,2023,9,18,64,4,1,2,1,1,1,8,3,0,1,1,4,3,1,2,1,1,9,9,9,1,4,1,5,51,513,0,14,1,175832,658011,1,1,2023,9,3,0,14,2,11,4,6200,3,3,2,3,5,51,513,0,14,1,,
2023001197,1,1,1,6200,221,443,,8940031,,,,,20,2023,9,18,64,4,1,2,1,1,1,8,3,0,1,1,4,3,1,2,1,1,9,9,9,1,4,1,5,51,513,0,14,1,175832,658011,1,3,2023,9,1,1998,13,1,11,1,6200,0,0,8,1,5,51,513,0,14,1,,
2023001255,1,1,1,7900,304,454,,9850054,,,,,51,2023,9,28,82,4,5,5,0,3,1,8,1,0,1,1,2,3,3,1,1,1,9,9,9,3,3,1,4,42,422,0,13,1,190940,665512,0,1,2023,9,3,0,10,2,,5,7900,3,1,9,1,4,42,422,0,13,1,,
2023001255,1,1,1,7900,304,454,,9850054,,,,,51,2023,9,28,82,4,5,5,0,3,1,8,1,0,1,1,2,3,3,1,1,1,9,9,9,3,3,1,4,42,422,0,13,1,190940,665512,1,2,2023,9,1,2009,7,2,1,5,734,0,0,8,1,4,41,412,16,31,1,,
2023001258,1,1,1,6200,102,215,,30023,,,,,20,2023,5,26,51,1,1,6,9,2,2,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,513,0,14,1,175777,659141,1,2,2023,5,1,2006,9,1,1,5,0,0,0,8,1,,99,,,,1,,
2023001258,1,1,1,6200,102,215,,30023,,,,,20,2023,5,26,51,1,1,6,9,2,2,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,513,0,14,1,175777,659141,2,1,2023,5,3,0,12,2,10,2,8600,3,5,8,1,5,51,512,0,14,1,,
