ZOMET_IRONI,SEMEL_YISHUV,total_rows,total_accidents,fatal_accidents,severe_accidents,light_accidents,PK_TEUNA_FIKT,risk_score
24530725,3000,18,4,0,2,16,"2023004906, 2023013218, 2023021059, 2023065316",24
24640211,3000,12,4,0,2,10,"2023008245, 2023054614, 2023067980, 2023071020",16
24770842,3000,11,4,0,0,11,"2023005041, 2023032699, 2023038343, 2023042507",13
24840714,3000,9,4,0,3,6,"2023004810, 2023019110, 2023035744, 2023047499",14
25030124,3000,24,4,0,0,24,"2023042467, 2023048078, 2023065328, 2023078433",28
26620214,3000,9,4,0,2,7,"2023001714, 2023015765, 2023093635, 2023096323",13
92870668,3000,11,4,0,0,11,"2023043846, 2023064474, 2023073453, 2023098901",13
92872248,3000,9,4,0,0,9,"2023018178, 2023046604, 2023048741, 2023061119",11
92872580,3000,11,4,0,0,11,"2023035121, 2023040098, 2023055361, 2023084090",13
30041,7900,6,3,0,2,4,"2023014277, 2023046578, 2023048721",8
30111,4000,7,3,0,0,7,"2023015380, 2023054972, 2023056499",9
80525,4000,11,3,0,0,11,"2023002403, 2023008102, 2023093875",13
90123,3000,6,3,0,0,6,"2023018594, 2023076596, 2023095269",8
100146,3000,7,3,0,0,7,"2023005053, 2023061763, 2023096852",9
120001,1200,7,3,0,3,4,"2023027854, 2023076861, 2023093924",10
150117,8600,6,3,0,2,4,"2023012667, 2023013501, 2023016428",8
180022,9000,7,3,0,0,7,"2023033690, 2023066801, 2023073335",9
200032,6200,9,3,0,0,9,"2023070589, 2023078359, 2023089296",11
250007,6500,11,3,0,0,11,"2023018119, 2023066798, 2023097478",13
290211,4000,10,3,0,5,5,"2023040852, 2023050409, 2023072589",15
340744,5000,7,3,0,2,5,"2023005016, 2023014502, 2023077412",9
350022,9000,6,3,0,0,6,"2023013228, 2023043953, 2023072520",8
360003,7100,7,3,0,0,7,"2023040857, 2023052230, 2023077776",9
430053,166,7,3,0,2,5,"2023002093, 2023031487, 2023066352",9
7460001,2600,7,3,0,0,7,"2023027658, 2023044195, 2023083843",9
7630325,5000,7,3,0,2,5,"2023031995, 2023034298, 2023036060",9
7770031,6200,9,3,0,0,9,"2023004689, 2023011960, 2023048486",11
7810005,6900,8,3,0,0,8,"2023021187, 2023053778, 2023090005",10
7930014,6100,6,3,0,4,2,"2023000440, 2023074027, 2023098936",10
7970012,7400,10,3,0,0,10,"2023000407, 2023063182, 2023085586",12
8010033,6200,7,3,0,2,5,"2023009811, 2023039569, 2023056847",9
8070011,70,10,3,0,3,7,"2023001000, 2023009824, 2023029331",15
8100002,7600,7,3,0,2,5,"2023015756, 2023069923, 2023076021",9
8270053,6600,6,3,0,0,6,"2023026247, 2023047852, 2023080675",8
8300054,70,7,3,2,3,2,"2023036645, 2023047158, 2023067742",14
8310713,3000,7,3,0,0,7,"2023051569, 2023066773, 2023068010",9
8410022,9000,9,3,0,2,7,"2023021618, 2023034437, 2023057971",13
8640009,7100,8,3,0,0,8,"2023049560, 2023077518, 2023090096",10
8640021,7400,7,3,0,0,7,"2023004523, 2023056576, 2023096617",9
8650723,3000,6,3,0,0,6,"2023026539, 2023045745, 2023060880",8
8660004,7100,7,3,0,0,7,"2023007401, 2023043595, 2023089574",9
8740056,6600,8,3,0,0,8,"2023021812, 2023022717, 2023072517",10
8740345,5000,5,3,0,1,4,"2023018192, 2023048624, 2023068171",6
8800002,6900,8,3,0,0,8,"2023048241, 2023049873, 2023099535",10
8940031,6200,7,3,3,2,2,"2023001197, 2023041463, 2023092402",15
8940032,7900,6,3,0,2,4,"2023014127, 2023026488, 2023076192",8
9030425,4000,11,3,0,7,4,"2023022678, 2023034763, 2023077711",18
9080121,3000,6,3,0,2,4,"2023004285, 2023073750, 2023075067",8
9180006,8400,7,3,0,0,7,"2023035935, 2023048242, 2023095165",9
9400316,5000,7,3,0,0,7,"2023009903, 2023032835, 2023047887",9
9410014,7900,8,3,0,0,8,"2023045030, 2023065768, 2023076155",10
9450421,5000,5,3,0,4,1,"2023021666, 2023071458, 2023081929",9
9750041,70,7,3,0,0,7,"2023020259, 2023021703, 2023078024",9
9770007,70,7,3,0,2,5,"2023041176, 2023083556, 2023089113",9
9800033,7400,12,3,0,0,12,"2023016925, 2023018085, 2023073112",14
9830062,7900,6,3,0,0,6,"2023017560, 2023076315, 2023080377",8
9900314,7400,5,3,0,0,5,"2023018554, 2023038777, 2023088506",5
9950313,7400,8,3,0,2,6,"2023027834, 2023030151, 2023050236",12
10440093,7600,6,3,0,0,6,"2023008308, 2023017789, 2023087771",8
10490001,7400,8,3,0,0,8,"2023013573, 2023091707, 2023098349",10
10590359,7400,5,3,0,0,5,"2023015005, 2023059103, 2023059974",5
10660022,9000,9,3,0,0,9,"2023019408, 2023024633, 2023070978",11
10880056,6600,6,3,0,4,2,"2023008237, 2023025356, 2023067719",10
10910146,3000,6,3,0,4,2,"2023001811, 2023020834, 2023037645",10
11130132,3000,8,3,0,5,3,"2023039779, 2023054325, 2023089522",13
11840612,5000,6,3,0,2,4,"2023023578, 2023075901, 2023082091",8
11900153,3000,6,3,0,0,6,"2023010265, 2023042977, 2023058544",8
12640532,3000,6,3,0,4,2,"2023083174, 2023091542, 2023097557",10
12650532,3000,10,3,0,0,10,"2023037880, 2023039012, 2023047410",12
13030557,5000,6,3,0,2,4,"2023024567, 2023061638, 2023071427",8
13530713,5000,7,3,0,4,3,"2023010465, 2023011304, 2023052471",11
14290714,5000,6,3,0,0,6,"2023018338, 2023057029, 2023080600",8
14350714,5000,7,3,0,0,7,"2023000895, 2023046977, 2023058132",9
14710412,4000,6,3,0,0,6,"2023018171, 2023030516, 2023078318",8
15250925,5000,6,3,0,0,6,"2023057829, 2023062169, 2023088914",8
15550001,2500,10,3,0,0,10,"2023055760, 2023064554, 2023071796",12
16810122,5000,6,3,0,1,5,"2023029760, 2023034375, 2023049235",7
17130001,7900,10,3,0,0,10,"2023006159, 2023025944, 2023048629",12
17490223,4000,10,3,0,0,10,"2023009357, 2023066703, 2023084265",12
17600551,5000,7,3,0,3,4,"2023007133, 2023047996, 2023062434",10
17730555,5000,7,3,2,0,5,"2023042287, 2023058369, 2023094413",11
17850921,5000,7,3,0,0,7,"2023010260, 2023012880, 2023096284",9
17850952,4000,7,3,0,0,7,"2023040990, 2023061844, 2023069839",9
18380665,4000,15,3,0,0,15,"2023019736, 2023079792, 2023082112",17
20390895,8300,6,3,0,2,4,"2023036785, 2023049031, 2023058840",8
21200744,5000,6,3,0,0,6,"2023009913, 2023049561, 2023054719",8
21800004,9700,6,3,0,0,6,"2023045599, 2023061783, 2023065251",8
22260002,9700,6,3,0,0,6,"2023053805, 2023069281, 2023072842",8
23750724,3000,10,3,0,2,8,"2023012478, 2023033410, 2023073988",14
23780714,3000,12,3,0,0,12,"2023040066, 2023054867, 2023091313",14
24170112,5000,11,3,0,0,11,"2023028853, 2023031949, 2023071839",13
24260723,3000,6,3,0,0,6,"2023040699, 2023053289, 2023067744",8
24540111,3000,7,3,0,0,7,"2023015149, 2023067087, 2023087355",9
26510545,3000,8,3,0,0,8,"2023016646, 2023083660, 2023085952",10
26560251,3000,7,3,0,0,7,"2023037332, 2023040108, 2023077423",9
26630735,3000,7,3,0,0,7,"2023078807, 2023079368, 2023089449",9
26640236,3000,10,3,0,0,10,"2023020986, 2023037611, 2023043296",12
29870001,3000,7,3,0,0,7,"2023029537, 2023042816, 2023062693",9
60350943,5000,7,3,3,0,4,"2023004574, 2023027734, 2023076337",13
67560112,8600,6,3,0,2,4,"2023006491, 2023036353, 2023065825",8
67620111,8600,8,3,0,0,8,"2023036489, 2023050442, 2023056832",10
80230079,6200,5,3,0,3,2,"2023005620, 2023009011, 2023088903",8
92870656,3000,10,3,0,0,10,"2023039412, 2023069296, 2023087676",12
92870789,3000,7,3,0,0,7,"2023023120, 2023039615, 2023085758",9
92870888,3000,7,3,0,0,7,"2023000208, 2023086901, 2023099887",9
92871276,3000,7,3,0,2,5,"2023028470, 2023071670, 2023075788",9
92871389,3000,7,3,0,3,4,"2023008973, 2023033777, 2023098608",10
92871461,3000,9,3,0,3,6,"2023035120, 2023047910, 2023058560",14
92871986,3000,6,3,0,2,4,"2023048079, 2023082503, 2023099521",8
99970314,7900,6,3,2,0,4,"2023071291, 2023080522, 2023083612",10
99970512,7900,9,3,0,0,9,"2023006043, 2023016355, 2023096988",11
15,2720,8,2,0,2,6,"2023008528, 2023021490",12
10001,70,5,2,0,0,5,"2023026364, 2023058455",5
10001,2660,3,2,0,3,0,"2023007949, 2023084826",6
10003,1034,5,2,0,0,5,"2023009945, 2023091173",5
20912,5000,4,2,0,0,4,"2023037911, 2023044943",4
30008,70,5,2,0,0,5,"2023080302, 2023086810",5
30053,7400,4,2,0,0,4,"2023037099, 2023098413",4
30131,4000,7,2,0,0,7,"2023017264, 2023025145",9
30554,5000,4,2,0,0,4,"2023026812, 2023078596",4
40041,7900,4,2,0,0,4,"2023015609, 2023085390",4
40815,5000,4,2,0,2,2,"2023047575, 2023087615",6
50525,4000,4,2,0,0,4,"2023035392, 2023038796",4
50554,5000,4,2,0,2,2,"2023046234, 2023053284",6
60537,3000,5,2,0,0,5,"2023022201, 2023094424",5
70001,166,4,2,0,2,2,"2023069080, 2023099327",6
70064,7900,4,2,0,0,4,"2023019726, 2023069645",4
70214,3000,4,2,0,0,4,"2023030576, 2023082922",4
80001,9300,4,2,0,0,4,"2023006517, 2023054552",4
100002,7800,8,2,0,0,8,"2023076391, 2023096553",10
100011,7400,4,2,0,0,4,"2023080858, 2023093177",4
110041,7400,4,2,0,2,2,"2023012042, 2023038408",6
120011,6100,5,2,0,0,5,"2023045021, 2023052397",5
130003,2630,8,2,0,0,8,"2023045144, 2023070314",10
130223,4000,4,2,0,0,4,"2023008405, 2023064710",4
140022,9000,8,2,0,0,8,"2023007275, 2023034344",10
140211,3000,4,2,0,0,4,"2023013850, 2023096200",4
150001,1015,4,2,0,0,4,"2023039072, 2023099358",4
150021,9000,6,2,0,0,6,"2023008965, 2023032368",8
150031,7400,5,2,0,0,5,"2023001986, 2023033717",5
150522,3000,4,2,0,0,4,"2023014468, 2023075479",4
160041,7900,4,2,0,0,4,"2023009531, 2023050658",4
160053,7400,7,2,0,0,7,"2023066201, 2023093692",9
170001,2600,4,2,0,0,4,"2023085543, 2023088572",4
170007,6500,4,2,0,0,4,"2023008852, 2023040018",4
190011,6600,3,2,0,1,2,"2023053151, 2023054465",4
210007,6500,7,2,0,0,7,"2023004267, 2023084676",9
210053,7400,4,2,0,2,2,"2023044763, 2023088453",6
230003,70,4,2,0,2,2,"2023016331, 2023035427",6
230624,5000,7,2,0,0,7,"2023052662, 2023085069",9
250001,1200,6,2,0,3,3,"2023024191, 2023076791",9
250224,4000,4,2,0,2,2,"2023050230, 2023068442",6
250623,4000,4,2,0,2,2,"2023053060, 2023062381",6
280004,7800,10,2,0,0,10,"2023038372, 2023079625",12
290004,8400,6,2,0,0,6,"2023000517, 2023058988",8
300112,4000,6,2,0,2,4,"2023069266, 2023085713",8
310006,9100,4,2,0,0,4,"2023013832, 2023059746",4
310117,8600,4,2,0,0,4,"2023076719, 2023080159",4
330514,3000,4,2,0,0,4,"2023013732, 2023047963",4
360001,1015,4,2,0,0,4,"2023032533, 2023039838",4
390003,1139,4,2,0,2,2,"2023009201, 2023081031",6
390005,6800,4,2,0,0,4,"2023006325, 2023058145",4
400001,2640,4,2,0,0,4,"2023057505, 2023084102",4
400002,7700,3,2,0,0,3,"2023049686, 2023060386",3
470131,4000,4,2,0,0,4,"2023029529, 2023029851",4
530005,7800,4,2,0,0,4,"2023015098, 2023068918",4
690042,7400,6,2,0,0,6,"2023022864, 2023041325",8
820007,6400,4,2,0,0,4,"2023004831, 2023037114",4
1020008,6900,4,2,0,2,2,"2023067812, 2023081550",6
1180021,9000,5,2,0,0,5,"2023020906, 2023046081",5
1440002,7100,5,2,0,0,5,"2023070629, 2023090304",5
1590002,7100,4,2,0,0,4,"2023020452, 2023039334",4
1600002,7100,4,2,0,0,4,"2023039634, 2023080312",4
7070002,1061,3,2,0,0,3,"2023026080, 2023051293",3
7090000,6600,3,2,0,0,3,"2023030815, 2023092635",3
7232440,3000,3,2,0,0,3,"2023028261, 2023096928",3
7290007,6900,8,2,0,5,3,"2023014210, 2023074125",13
7300004,2630,8,2,0,6,2,"2023034667, 2023068292",14
7300023,8300,4,2,0,2,2,"2023084536, 2023095414",6
7350007,6900,5,2,0,0,5,"2023018555, 2023022588",5
7390002,2600,5,2,0,0,5,"2023009608, 2023098352",5
7400007,6900,4,2,0,0,4,"2023067620, 2023088249",4
7420001,2800,5,2,0,0,5,"2023009569, 2023037068",5
7420002,7200,7,2,0,0,7,"2023001444, 2023034672",9
7440003,2200,5,2,0,0,5,"2023017259, 2023072408",5
7500001,7200,5,2,0,0,5,"2023008431, 2023089786",5
7540002,70,5,2,0,0,5,"2023057535, 2023059656",5
7620002,6700,5,2,0,0,5,"2023023457, 2023030219",5
7630003,70,4,2,0,0,4,"2023026821, 2023052647",4
7680002,2610,5,2,0,0,5,"2023057740, 2023094161",5
7690023,6200,5,2,0,0,5,"2023014328, 2023027332",5
7730005,2620,6,2,0,6,0,"2023008001, 2023085151",12
7730227,8600,4,2,0,0,4,"2023068110, 2023081339",4
7750006,70,4,2,0,0,4,"2023012860, 2023033785",4
7760007,70,3,2,1,0,2,"2023034809, 2023097664",5
7790007,6500,4,2,0,0,4,"2023012094, 2023080579",4
7820003,7100,4,2,0,0,4,"2023035670, 2023046944",4
7890032,6200,5,2,0,0,5,"2023004958, 2023018006",5
7900006,7100,7,2,0,0,7,"2023005386, 2023028430",9
7900013,70,4,2,0,2,2,"2023019273, 2023032920",6
7910002,7800,4,2,0,0,4,"2023025301, 2023093551",4
7910004,6800,3,2,0,0,3,"2023005779, 2023061317",3
7920003,6300,5,2,0,0,5,"2023088478, 2023093009",5
7930002,2600,5,2,0,0,5,"2023008993, 2023023413",5
7930011,70,7,2,0,5,2,"2023013834, 2023055656",12
7950012,7400,4,2,0,0,4,"2023001833, 2023056362",4
7960002,7100,4,2,0,0,4,"2023062763, 2023082619",4
7960002,8700,4,2,0,0,4,"2023050801, 2023093560",4
7960003,9700,4,2,0,2,2,"2023080965, 2023093019",6
7970003,8500,4,2,0,0,4,"2023003571, 2023068155",4
7990002,7100,5,2,0,0,5,"2023000788, 2023052072",5
7990042,6600,4,2,0,2,2,"2023006857, 2023030736",6
8060011,70,5,2,0,0,5,"2023022674, 2023054099",5
8130002,6800,5,2,0,2,3,"2023006128, 2023095471",7
8180061,6200,5,2,0,0,5,"2023021511, 2023078068",5
8210041,6200,4,2,0,2,2,"2023020545, 2023091223",6
8220008,7100,15,2,0,15,0,"2023031480, 2023085832",30
8220052,6600,4,2,0,0,4,"2023087046, 2023098434",4
8270012,6100,4,2,0,2,2,"2023037668, 2023043421",6
8370004,2600,6,2,0,0,6,"2023002924, 2023052382",8
8370023,9000,4,2,0,2,2,"2023056188, 2023069971",6
8380023,7400,4,2,0,0,4,"2023060634, 2023072010",4
8380023,9000,4,2,0,0,4,"2023055541, 2023082793",4
8420525,4000,5,2,0,0,5,"2023038559, 2023058222",5
8440021,9000,7,2,0,4,3,"2023082572, 2023090685",11
8450006,7100,4,2,0,0,4,"2023077294, 2023081227",4
8460041,70,4,2,0,2,2,"2023014679, 2023045902",6
8490012,6200,4,2,0,0,4,"2023068297, 2023098196",4
8550021,8300,8,2,0,4,4,"2023012703, 2023022400",12
8580344,5000,4,2,0,0,4,"2023030634, 2023063663",4
8590062,2630,4,2,0,0,4,"2023048080, 2023059651",4
8670005,8400,4,2,0,0,4,"2023011731, 2023073603",4
8730022,6100,4,2,0,0,4,"2023031292, 2023050223",4
8730052,70,4,2,0,0,4,"2023000076, 2023052089",4
8760003,7800,5,2,0,0,5,"2023065853, 2023083138",5
8770021,7100,4,2,0,0,4,"2023033306, 2023095997",4
8780021,7100,8,2,0,0,8,"2023017278, 2023038830",10
8820071,70,4,2,0,0,4,"2023003287, 2023064909",4
8820421,4000,5,2,0,0,5,"2023043426, 2023093990",5
8830033,7900,4,2,0,2,2,"2023046807, 2023098036",6
8890111,3000,5,2,2,0,3,"2023003703, 2023058189",9
8930061,6200,4,2,0,2,2,"2023005104, 2023075767",6
8970035,7400,4,2,0,0,4,"2023008545, 2023050873",4
8980009,6300,7,2,0,3,4,"2023024495, 2023029867",10
9000422,4000,5,2,0,2,3,"2023053035, 2023087979",7
9020032,7900,6,2,0,0,6,"2023036367, 2023055222",8
9040011,6600,7,2,0,3,4,"2023078813, 2023092836",10
9170022,6600,6,2,0,0,6,"2023008123, 2023064288",8
9190004,8300,5,2,0,3,2,"2023032143, 2023032352",8
9200073,70,5,2,0,0,5,"2023041402, 2023069136",5
9210001,70,4,2,0,2,2,"2023068719, 2023075173",6
9250054,70,5,2,0,2,3,"2023030598, 2023073689",7
9290009,6500,4,2,0,4,0,"2023026023, 2023082556",8
9300021,7900,5,2,0,2,3,"2023011004, 2023081216",7
9390014,7900,5,2,0,0,5,"2023020177, 2023087969",5
9430312,70,5,2,0,0,5,"2023053686, 2023075079",5
9470321,70,4,2,2,0,2,"2023028043, 2023033432",8
9490041,7900,6,2,0,0,6,"2023012534, 2023065010",8
9500175,3000,4,2,0,2,2,"2023020033, 2023023991",6
9510004,6500,4,2,0,0,4,"2023017511, 2023057391",4
9570115,8600,6,2,0,0,6,"2023059451, 2023082340",8
9580331,70,5,2,0,0,5,"2023059509, 2023075199",5
9600014,6500,5,2,0,0,5,"2023011230, 2023096908",5
9720005,70,5,2,0,3,2,"2023021741, 2023025735",8
9800132,6500,5,2,0,0,5,"2023003580, 2023020903",5
9800555,6500,7,2,0,0,7,"2023002753, 2023049184",9
9810033,6400,9,2,0,0,9,"2023001804, 2023092324",11
9850054,7900,4,2,0,0,4,"2023001255, 2023026830",4
9890002,7100,4,2,0,0,4,"2023075740, 2023082430",4
9900002,70,7,2,0,5,2,"2023062332, 2023095562",12
9910116,8600,5,2,0,0,5,"2023022415, 2023063382",5
9920021,7100,9,2,0,0,9,"2023059595, 2023075528",11
9920422,5000,4,2,0,0,4,"2023002203, 2023082064",4
9930054,6600,4,2,0,0,4,"2023035784, 2023067507",4
9950011,9000,4,2,0,4,0,"2023004322, 2023036116",8
9970526,4000,5,2,0,0,5,"2023020901, 2023098002",5
10000051,7400,6,2,0,0,6,"2023071380, 2023087823",8
10060052,9000,4,2,0,2,2,"2023019970, 2023079081",6
10070053,9000,4,2,0,2,2,"2023036891, 2023039492",6
10100424,5000,4,2,0,2,2,"2023033490, 2023071455",6
10140014,6100,4,2,0,2,2,"2023061072, 2023093809",6
10150290,70,4,2,0,0,4,"2023080757, 2023088315",4
10150344,70,6,2,0,0,6,"2023026284, 2023070320",8
10150345,70,4,2,2,0,2,"2023025361, 2023092163",8
10150362,70,4,2,0,0,4,"2023055544, 2023078081",4
10170071,6600,4,2,0,0,4,"2023000521, 2023057407",4
10240123,6600,6,2,0,2,4,"2023050478, 2023096551",8
10270315,8300,4,2,0,2,2,"2023072112, 2023072782",6
10290021,6400,4,2,0,2,2,"2023059888, 2023093077",6
10320315,8300,6,2,0,2,4,"2023067520, 2023090165",8
10390071,6600,4,2,0,0,4,"2023062633, 2023087640",4
10500350,6400,3,2,0,1,2,"2023038884, 2023051092",4
10510131,3000,4,2,0,0,4,"2023031762, 2023085747",4
10520063,9000,8,2,0,5,3,"2023017944, 2023042184",13
10590422,7400,5,2,0,0,5,"2023003279, 2023053933",5
10730021,9000,4,2,0,2,2,"2023006805, 2023025782",6
10780012,9000,4,2,0,2,2,"2023024825, 2023032192",6
10820231,4000,7,2,0,3,4,"2023071209, 2023081649",10
10980523,9000,6,2,0,0,6,"2023078780, 2023095673",8
11010021,9000,5,2,0,0,5,"2023067916, 2023094270",5
11070061,7900,3,2,0,0,3,"2023009916, 2023063142",3
11180522,5000,4,2,0,2,2,"2023039744, 2023071822",6
11200014,7900,4,2,0,0,4,"2023053343, 2023064930",4
11220225,9000,7,2,0,0,7,"2023002099, 2023073848",9
11420534,5000,6,2,0,2,4,"2023032726, 2023077978",8
11570011,7900,4,2,0,0,4,"2023061444, 2023097483",4
11590033,7900,4,2,0,0,4,"2023022255, 2023057596",4
11780011,7900,4,2,0,0,4,"2023006251, 2023075269",4
11780613,5000,5,2,0,0,5,"2023015812, 2023037339",5
11850011,7900,5,2,0,3,2,"2023019212, 2023052233",8
11890117,7900,4,2,2,0,2,"2023067325, 2023094384",8
12130008,9600,4,2,0,0,4,"2023029232, 2023084478",4
12170004,8400,6,2,0,0,6,"2023024143, 2023080314",8
12260001,8400,5,2,0,3,2,"2023014391, 2023042974",8
12280911,5000,4,2,0,0,4,"2023005350, 2023007391",4
12360001,9600,4,2,0,0,4,"2023007715, 2023013201",4
12690913,5000,4,2,0,0,4,"2023043232, 2023088592",4
12740533,3000,4,2,0,0,4,"2023068755, 2023093599",4
12800006,6900,5,2,0,0,5,"2023020271, 2023045384",5
13030043,6900,4,2,0,0,4,"2023013227, 2023047783",4
13210524,4000,4,2,0,2,2,"2023049465, 2023079723",6
13290073,6800,5,2,0,0,5,"2023061586, 2023085064",5
13290074,6800,4,2,0,0,4,"2023070141, 2023093847",4
13370814,5000,4,2,0,0,4,"2023001550, 2023074989",4
13820416,3000,4,2,2,0,2,"2023020117, 2023069056",8
13930415,3000,4,2,0,0,4,"2023010075, 2023046958",4
13940414,3000,4,2,0,0,4,"2023019603, 2023042128",4
14590232,3000,7,2,0,0,7,"2023020243, 2023022233",9
